Drop Off Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Comment Sentiments,Comments or Feedback,Routes Completed,Doors in Route,Time Spent
Bearspaw Chapel,Bonnie Doon Stake,2,3,60,90,Yes,Southgate Ward,Neutral,No Comments,2,257,63
Riverbend Stake Centre,Riverbend Stake,2,1,80,60,Yes,Terwillegar Park Ward,Neutral,No Comments,2,300,63
Londonderry Chapel,Bonnie Doon Stake,2,1,42,110,Yes,Clareview Ward,Negative,"30% first, 15 20 smaller. Routes: 170, 162",2,191,63
Bearspaw Chapel,Gateway Stake,2,3,32,30,No,Lee Ridge Ward,Positive,Super dopey dope,2,157,63
Riverbend Stake Centre,Riverbend Stake,2,2,54,90,No,Woodbend Ward,Neutral,No Comments,2,350,100
Riverbend Stake Centre,Riverbend Stake,3,1,100,135,Yes,Rabbit Hill Ward,Neutral,No Comments,2,80,141
Londonderry Chapel,Bonnie Doon Stake,4,0,200,240,Yes,Clareview Ward,Negative,7 routes in total- evergreen trailer park,7,607,141
Londonderry Chapel,Bonnie Doon Stake,3,1,25,60,No,Clareview Ward,Neutral,129,2,25,141
Gateway Stake Centre,Gateway Stake,2,1,45,60,Yes,Rio Vista Ward,Negative,"Very poor this year. The bags said Walmart so lots of people didn't volunteer, yellow bags are better",2,36,54
Riverbend Stake Centre,Riverbend Stake,3,1,110,120,Yes,Rabbit Hill Ward,Neutral,No Comments,3,430,100
Bearspaw Chapel,Bonnie Doon Stake,2,0,58,75,Yes,Southgate Ward,Neutral,No Comments,3,195,70
Riverbend Stake Centre,Riverbend Stake,2,3,39,120,No,Greenfield Ward,Neutral,No Comments,2,195,109
Gateway Stake Centre,Gateway Stake,2,2,35,80,Yes,Lee Ridge Ward,Neutral,No Comments,2,330,63
Riverbend Stake Centre,Riverbend Stake,2,3,88,40,No,Woodbend Ward,Neutral,No Comments,2,380,15
Riverbend Stake Centre,Riverbend Stake,1,3,12,30,No,Rutherford Ward,Neutral,No Comments,2,142,63
Gateway Stake Centre,Gateway Stake,3,4,33,30,Yes,Silver Berry Ward,Neutral,No Comments,3,206,63
Bearspaw Chapel,Gateway Stake,3,0,30,45,No,Blackmud Creek Ward,Neutral,No Comments,2,171,45
North Stake Centre,Edmonton North Stake,3,0,60,120,Yes,Griesbach Ward,Neutral,No Comments,2,380,140
Bearspaw Chapel,Gateway Stake,4,5,14,30,No,Blackmud Creek Ward,Neutral,No Comments,2,195,30
Gateway Stake Centre,Gateway Stake,2,0,23,25,No,Lee Ridge Ward,Neutral,No Comments,2,160,25
Gateway Stake Centre,Gateway Stake,1,1,45,90,Yes,Ellerslie Ward,Positive,"1- 130,2-267. Need to change bags",2,180,90
Riverbend Stake Centre,Riverbend Stake,2,4,80,105,Yes,Rabbit Hill Ward,Neutral,No Comments,4,74,63
Bearspaw Chapel,Bonnie Doon Stake,2,3,20,45,No,Southgate Ward,Negative,Had kids helping ( sometimes slower),2,147,45
Riverbend Stake Centre,Riverbend Stake,2,0,100,90,Yes,Greenfield Ward,Neutral,No Comments,2,500,63
Bearspaw Chapel,Gateway Stake,3,0,8,30,No,Blackmud Creek Ward,Neutral,No Comments,2,60,30
Riverbend Stake Centre,Riverbend Stake,5,0,28,60,Yes,Rutherford Ward,Neutral,No Comments,2,260,92
Bearspaw Chapel,Gateway Stake,3,4,14,60,Yes,Lee Ridge Ward,Neutral,No Comments,2,147,85
Riverbend Stake Centre,Riverbend Stake,2,2,65,80,Yes,Woodbend Ward,Neutral,No Comments,2,200,80
Bearspaw Chapel,Gateway Stake,3,4,25,35,Yes,Lee Ridge Ward,Neutral,No Comments,2,166,63
Riverbend Stake Centre,Riverbend Stake,2,2,67,60,Yes,Rutherford Ward,Neutral,No Comments,2,377,60
Riverbend Stake Centre,Riverbend Stake,3,0,34,90,Yes,Rutherford Ward,Neutral,No Comments,2,246,63
Bearspaw Chapel,Gateway Stake,4,9,32,75,No,Blackmud Creek Ward,Neutral,No Comments,2,178,75
Gateway Stake Centre,Gateway Stake,1,1,25,25,No,Ellerslie Ward,Neutral,No Comments,2,226,25
