Drop Off Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Comment Sentiments,Comments or Feedback,Routes Completed,Doors in Route,Time Spent
Riverbend Stake Centre,Riverbend Stake,2,2,35,30,No,Rutherford Ward,Neutral,No Comments,2,207,30
North Stake Centre,Edmonton North Stake,1,5,16,30,No,Griesbach Ward,Neutral,No Comments,2,120,30
Londonderry Chapel,Bonnie Doon Stake,1,4,40,60,Yes,Clareview Ward,Negative,177 and 181,2,195,141
Bearspaw Chapel,Bonnie Doon Stake,4,0,8,45,No,Southgate Ward,Neutral,No Comments,2,195,60
Gateway Stake Centre,Gateway Stake,2,3,23,58,No,Lee Ridge Ward,Neutral,No Comments,2,23,58
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,3,11,30,Yes,Forest Heights Ward,Neutral,No Comments,2,170,63
Gateway Stake Centre,Gateway Stake,3,1,28,30,No,Crawford Plains Ward,Neutral,No Comments,2,123,30
Riverbend Stake Centre,Riverbend Stake,4,0,25,60,No,Terwillegar Park Ward,Neutral,No Comments,2,100,63
North Stake Centre,Edmonton North Stake,3,0,16,30,No,Griesbach Ward,Neutral,No Comments,2,75,30
Riverbend Stake Centre,Riverbend Stake,2,2,30,25,No,Greenfield Ward,Neutral,No Comments,2,196,30
Gateway Stake Centre,Gateway Stake,1,3,32,52,Yes,Crawford Plains Ward,Neutral,No Comments,2,200,52
